"FEN,Evaluation"
"4R3/8/2B5/p3p3/P2kPpK1/8/8/1r6 b - -,279"
"4R3/8/2B5/p3p3/P3PpK1/4k3/8/1r6 w - -,285"
"7R/8/2B5/p3p3/P3PpK1/4k3/8/1r6 b - -,290"
"3k4/1p6/p7/4R3/1P3P2/P5K1/3r4/8 b - -,202"
"3k4/1p6/p7/4RP2/8/P5K1/1P1r4/8 b - -,339"
"8/1p1k4/p7/4RP2/8/P5K1/1P1r4/8 w - -,366"
"8/7p/p1k3p1/6P1/P2K3P/8/8/8 b - -,244"
"2B5/4k3/R7/2b1n3/6p1/p7/P5K1/8 b - -,165"
"8/4k3/R2b4/8/6K1/p7/P7/8 b - -,213"
"8/1p1k4/p7/4RP2/1P1r4/P5K1/8/8 w - -,362"
"8/8/R7/3k4/1b6/p7/P1K5/8 b - -,395"
"1kb2R2/8/1p6/p1pp4/8/3PK1P1/8/8 w - -,181"
"8/8/4k3/8/3K3p/P2B2r1/1P4P1/3b1R2 b - -,347"
"8/1p1k4/p7/4RP2/6K1/P7/1P1r4/8 b - -,150"
"1kb2R2/8/8/1ppp4/p7/2KP2P1/8/8 w - -,153"
"8/1p1k4/p7/4RP2/8/PP4K1/3r4/8 b - -,342"
"8/1p1k4/p7/4RP2/8/PP1r2K1/8/8 w - -,384"
"8/8/4k3/8/3KB2p/Pb4r1/1P4P1/5R2 b - -,397"
"8/8/2r2k2/R4p2/5P1p/P7/1P3KP1/8 w - -,330"
"6k1/4Rp2/6p1/7p/5P1P/4K3/r5P1/8 b - -,-187"
"8/3k4/8/5K1p/3R4/p1p5/Pb4P1/8 b - -,339"
"6r1/8/4k3/8/1P1KB2p/P4R2/b5P1/8 b - -,373"
"8/8/2bk4/1P3p2/2BK1P2/8/8/8 b - -,212"
"8/8/3r1k2/5R2/5P1p/P2BK3/1P4b1/8 b - -,385"
"8/4k3/3r4/5R2/5P1p/P2BK3/1P4b1/8 w - -,323"
"3r4/8/3P4/pR6/4k2p/P7/1P3KP1/8 b - -,305"
"8/4k3/3r4/4R3/5P1p/P2BK3/1P4b1/8 b - -,384"
"8/8/3r4/pR6/4k2p/P7/1P3KP1/8 w - -,378"
"8/5k2/3r4/4R3/5P1p/P2BK3/1P4b1/8 w - -,291"
"8/8/8/3Bn3/3b1kp1/R6p/P5P1/5K2 b - -,266"
"8/8/3r4/p6R/4k2p/P7/1P3KP1/8 b - -,375"
"8/8/8/3Bn3/3b1kp1/R7/P5p1/5K2 w - -,267"
"8/8/8/p6R/4k2p/P7/1P1r1KP1/8 w - -,382"
"8/8/8/3Bn3/3b1kp1/R7/P5Pp/5K2 w - -,380"
"8/8/8/p6R/4k2p/P7/1P1r2P1/6K1 b - -,382"
"8/8/8/3Bn3/3b1kp1/R5P1/P6p/5K2 b - -,389"
"2R5/8/5p2/6k1/6n1/p7/P1B1K1P1/2b5 b - -,332"
"2k5/8/8/1B2Kp2/p2R1P2/Pb6/1r6/8 w - -,333"
"2k5/8/8/4Kp2/B2R1P2/Pb6/1r6/8 b - -,333"
"8/8/5k2/7R/4K3/p1p4p/PbB4n/8 w - -,190"
"2k5/8/8/4Kp2/B2R1P2/Pb6/4r3/8 w - -,331"
"8/8/5k2/8/4K3/p1p4R/PbB4n/8 b - -,174"
"8/8/5k2/8/4K1n1/p1p4R/PbB5/8 w - -,163"
"2k5/8/8/5K2/B2R1P2/Pb6/4r3/8 b - -,334"
"8/8/5k2/8/4K1n1/p1p3R1/PbB5/8 b - -,154"
"8/8/5k1n/3K4/8/p1p3R1/PbB5/8 b - -,194"
"8/4k3/7n/3K4/8/p1p3R1/PbB5/8 w - -,204"
"8/4k3/7n/3K4/8/p1p1R3/PbB5/8 b - -,186"
"8/5k2/7n/3K4/8/p1p1R3/PbB5/8 w - -,181"
"8/5k2/7n/3K4/4R3/p1p5/PbB5/8 b - -,187"
"2k5/8/8/5K2/B2R1P2/P7/b3r3/8 w - -,324"
"2k5/8/2B5/5K2/3R1P2/P7/b3r3/8 b - -,326"
"8/2k5/2B5/5K2/3R1P2/P7/b3r3/8 w - -,332"
"8/2k5/8/3B1K2/3R1P2/P7/b3r3/8 b - -,331"
"8/2k5/8/3B1K2/3R1P2/P7/4r3/1b6 w - -,334"
"8/2k5/8/3B2K1/3R1P2/P7/4r3/1b6 b - -,336"
"8/2k5/8/3B2K1/3R1P2/P7/8/1b2r3 w - -,337"
"8/2k5/8/3B1PK1/3R4/P7/8/1b2r3 b - -,341"
"2k5/8/8/4Kp2/B2R1P2/P7/br6/8 w - -,334"
"8/2k5/8/3B1PK1/3R4/P7/8/1b4r1 w - -,344"
"8/2k5/5K2/3B1P2/3R4/P7/8/1b4r1 b - -,350"
"2k5/3B4/8/4Kp2/3R1P2/P7/br6/8 b - -,337"
"8/2k5/5K2/3B1P2/3R4/P7/8/1b2r3 w - -,355"
"8/2kB4/8/4Kp2/3R1P2/P7/br6/8 w - -,335"
"8/2k5/4BK2/5P2/3R4/P7/8/1b2r3 b - -,376"
"8/2k5/4BK2/5P2/3R4/P7/8/1b3r2 w - -,376"
"8/2kB4/8/5K2/3R1P2/P7/br6/8 b - -,337"
"8/2k5/4BK2/5P2/P2R4/8/8/1b3r2 b - -,377"
"8/2kB4/8/5K2/3R1P2/P7/b5r1/8 w - -,342"
"8/8/1k2BK2/5P2/P2R4/8/8/1b3r2 w - -,377"
"2k5/3B4/8/5K2/3R1P2/P7/b3r3/8 b - -,325"
"8/2kB4/8/5K2/3R1P2/P7/b3r3/8 w - -,343"
"8/8/5kp1/2R4p/4K3/p7/Pb4P1/8 b - -,165"
"8/2kB4/5K2/8/3R1P2/P7/b3r3/8 b - -,325"
"8/3B4/1k3K2/8/3R1P2/P7/b3r3/8 w - -,325"
"5k2/8/3r4/5R2/2B2P1p/P3K3/1P4b1/8 b - -,332"
"8/8/7k/1P2p1p1/4b3/1N5P/p4KP1/8 b - -,-254"
"8/3B4/1k1R1K2/8/5P2/P7/b3r3/8 b - -,325"
"8/8/6k1/1P2p1p1/4b3/1N5P/p4KP1/8 w - -,-364"
"8/2kB4/3R1K2/8/5P2/P7/b3r3/8 w - -,355"
"5k2/8/4r3/5K2/p3BP2/Pb6/1P4R1/8 b - -,381"
"8/8/4K1p1/6k1/1R5p/p7/Pb4P1/8 b - -,238"
"8/2kB4/5K2/8/5P2/P7/b2Rr3/8 b - -,-329"
"8/2kB4/5K2/8/5P2/P7/b2r4/8 w - -,-338"
"8/2kB4/5K2/8/5P2/P7/b3r3/3R4 b - -,357"
"8/7R/2kr4/5P2/2B5/P3K2p/1P4b1/8 b - -,381"
"8/2k5/5K2/8/5PB1/P7/b2r4/8 b - -,-389"
"8/2kB4/5K2/8/5P2/Pb6/4r3/3R4 w - -,355"
"8/2kB4/5K2/8/3R1P2/Pb6/4r3/8 b - -,367"
"8/8/6K1/6R1/7p/p5k1/Pb4P1/8 b - -,296"
"8/2kB4/5K2/8/3R1P2/Pb2r3/8/8 w - -,367"
"8/2kB4/5K2/5P2/3R4/Pb2r3/8/8 b - -,368"
"8/3B4/1k3K2/5P2/3R4/Pb2r3/8/8 w - -,371"
"8/8/8/p7/R7/P3k3/1r4P1/6K1 b - -,152"
"8/3N4/1P5k/4p1p1/4b3/p5KP/6P1/8 w - -,-298"
"8/3B4/1k3K2/5P2/8/Pb2r3/3R4/8 b - -,381"
"8/8/8/pr6/R7/P3k3/6P1/6K1 w - -,236"
"8/3B4/1k3K2/5P2/2b5/P3r3/3R4/8 w - -,396"
"8/8/8/pr6/R7/P3k3/6PK/8 b - -,250"
"8/8/1k2BK2/5P2/2b5/P3r3/3R4/8 b - -,399"
"8/8/8/3Bn1k1/R5p1/p5K1/P7/2b5 w - -,157"
"8/8/8/pr6/R7/P7/3k2PK/8 w - -,247"
"8/8/8/pr6/R5P1/P7/3k3K/8 b - -,265"
"8/8/3r4/R7/4k2p/P7/1P3KP1/8 b - -,226"
"8/k3R3/8/6p1/P6n/1Bp5/3b1K2/8 b - -,211"
"8/8/4k3/7R/7p/pK2n3/PbB3P1/8 b - -,153"
"8/8/5k2/R4p2/5r2/P2BK2P/1P6/3b4 b - -,354"
"8/8/4k3/7R/7p/pK6/PbB3n1/8 w - -,153"
"8/8/5k2/R4p2/8/P2BKr1P/1P6/3b4 w - -,358"
"8/8/4k3/7R/4B2p/pK6/Pb4n1/8 b - -,153"
"8/8/4k3/7R/4Bn1p/pK6/Pb6/8 w - -,152"
"8/8/5k2/R4p2/3K4/P2B1r1P/1P6/3b4 b - -,362"
"8/8/4k3/8/4Bn1R/pK6/Pb6/8 b - -,155"
"8/8/2r3k1/p4p2/5P1R/PP6/5KP1/8 b - -,321"
"8/8/4k3/8/4B2R/pK6/Pb2n3/8 w - -,152"
"8/8/4n1k1/8/R4pp1/N7/Pb4P1/5K2 b - -,278"
"8/8/5k2/R4p2/3K4/P2B3r/1P6/3b4 w - -,384"
"8/8/8/pr6/R5P1/P7/7K/2k5 w - -,265"
"8/7B/4k3/8/7R/pK6/Pb2n3/8 b - -,151"
"8/7B/3k4/8/7R/pK6/Pb2n3/8 w - -,159"
"8/3B4/5k2/5p2/p2K1P1p/P7/1P4b1/8 w - -,257"
"8/8/8/pr6/5RP1/P7/7K/2k5 b - -,267"
"8/8/6k1/2n5/R4pp1/N7/Pb4P1/5K2 w - -,285"
"8/3B4/5k2/5p2/p4P1p/P3K3/1P4b1/8 b - -,243"
"8/8/8/p7/5RP1/P7/1r5K/2k5 w - -,262"
"8/8/8/R3n1k1/4B1p1/p5K1/Pb6/8 w - -,167"
"8/8/8/k7/P3R1p1/2p5/2BbK1n1/8 w - -,303"
"8/3B4/5k2/3b1p2/p4P1p/P3K3/1P6/8 w - -,278"
"8/8/8/p7/5RP1/P5K1/1r6/2k5 b - -,272"
"8/3B4/5k2/3b1p2/p4P1p/P7/1P3K2/8 b - -,293"
"8/8/8/k7/P3R1p1/2p5/2Bb1Kn1/8 b - -,309"
"5k2/8/8/6R1/p3BP2/Pb2K2r/1P6/8 w - -,379"
"8/8/8/p7/5RP1/Pr4K1/8/2k5 w - -,278"
"5k2/8/8/6R1/p2KBP2/Pb5r/1P6/8 b - -,368"
"2n5/8/5R1b/8/7k/pB6/P1K5/8 b - -,332"
"8/8/8/k3R3/P4np1/2p5/2Bb1K2/8 b - -,296"
"5k2/8/8/3n4/2R4p/p7/PbB1K1P1/8 b - -,184"
"3k4/8/8/4RP2/p7/Pb1BK2r/1P6/8 w - -,364"
"R7/8/6k1/2n5/5pp1/N7/Pb4P1/5K2 b - -,291"
"5k2/8/8/6R1/p2KBP1r/Pb6/1P6/8 w - -,384"
"3k4/8/8/4RP2/p2K4/Pb1B3r/1P6/8 b - -,380"
"5k2/8/8/8/2R4p/p1n5/PbB1K1P1/8 w - -,187"
"5k2/8/8/4K1R1/p3BP1r/Pb6/1P6/8 b - -,393"
"8/8/1k6/4R3/P4np1/2p3K1/2Bb4/8 w - -,292"
"5k2/8/4b3/8/R3BP1p/P3K3/1r4P1/8 b - -,293"
"8/7B/3k4/8/2K4R/p7/Pb2n3/8 b - -,173"
"5k2/8/8/8/2R4p/p1n2K2/PbB3P1/8 b - -,177"
"8/8/3k4/1B3p2/p4P1p/Pb6/1P4K1/8 w - -,331"
"8/8/2B1bk2/R4p2/3K1P2/P6r/1P6/8 b - -,346"
"5k2/8/8/8/2R4p/p4K2/nbB3P1/8 w - -,191"
"R7/8/6k1/8/4npp1/N7/Pb4P1/5K2 w - -,293"
"3k4/8/8/4RP2/p2K4/Pb1B1r2/1P6/8 w - -,381"
"5k2/8/8/8/5R1p/p4K2/nbB3P1/8 b - -,202"
"R7/8/8/4n1k1/4B1p1/p5K1/Pb6/8 b - -,155"
"8/8/8/p7/5RPK/Pr6/8/2k5 b - -,285"
"8/8/2k5/P3R3/5np1/2p3K1/2Bb4/8 w - -,310"
"8/8/8/2k2p2/p4P1p/Pb1B4/1P4K1/8 w - -,340"
"5k2/8/7r/4K3/p3BP2/Pb6/1P4R1/8 b - -,379"
"8/8/8/2k2B2/p4P1p/Pb6/1P4K1/8 b - -,351"
"5k2/8/4r3/4K3/p3BP2/Pb6/1P4R1/8 w - -,385"
"8/4k3/8/8/5R1p/p4K2/nbB3P1/8 w - -,207"
"8/1k6/8/P3R3/5np1/2p3K1/2Bb4/8 b - -,311"
"3k4/8/8/5P2/p2K4/Pb1BRr2/1P6/8 b - -,389"
"8/8/8/5B2/p2k1P1p/Pb6/1P4K1/8 w - -,345"
"8/8/8/p5P1/5R1K/r7/8/2k5 b - -,289"
"5k2/8/r7/5K2/p3BP2/Pb6/1P4R1/8 w - -,381"
"3k4/8/8/5P2/p2K4/Pb1BR3/1P3r2/8 w - -,386"
"8/4k3/8/8/7R/p4K2/nbB3P1/8 b - -,211"
"8/3B4/8/8/p2k1P1p/Pb6/1P4K1/8 b - -,357"
"5k2/8/r7/5K2/p3BP2/Pb6/1P1R4/8 b - -,392"
"3k4/8/8/5P2/p2K4/Pb1B4/1P2Rr2/8 b - -,393"
"R7/8/5bk1/8/2N1npp1/8/P3K1P1/8 b - -,294"
"3k4/8/8/5P2/p2K4/Pb1B1r2/1P2R3/8 w - -,396"
"8/3B4/8/4kP2/p6p/Pb6/1P4K1/8 w - -,384"
"5k2/8/8/r4K2/p3BP2/Pb6/1P1R4/8 w - -,395"
"3k4/8/8/5P2/p3K3/Pb1B1r2/1P2R3/8 b - -,396"
"8/8/7k/1P1bp1p1/8/7P/p4KP1/N7 b - -,-360"
"8/8/P2kn3/5R2/4B1K1/2p1b3/8/8 b - -,311"
"8/4k3/8/8/7R/p1n2K2/1bB3P1/8 w - -,207"
"3k4/8/8/5P2/p3K3/Pb1B3r/1P2R3/8 w - -,396"
"R7/8/5k2/4n3/4B1p1/p5K1/Pb6/8 w - -,161"
"8/8/P2kn3/2bR4/4B1K1/2p5/8/8 b - -,315"
"8/2k5/P3n3/2bR4/4B1K1/2p5/8/8 w - -,315"
"8/2k5/P3n3/2b1R3/4B1K1/2p5/8/8 b - -,314"
"8/6pk/4p1N1/6b1/8/p1p5/P1B2K2/8 b - -,173"
"6k1/6p1/4p1N1/6b1/8/p1p5/P1B2K2/8 w - -,171"
"8/4k3/8/8/7R/pBn2K2/1b4P1/8 b - -,217"
"6k1/6p1/4p3/4N1b1/8/p1p5/P1B2K2/8 b - -,190"
"8/4k3/8/1n6/7R/pB3K2/1b4P1/8 w - -,237"
"5k2/8/4r3/4K3/p3BP2/Pb6/1P1R4/8 w - -,396"
"8/2k5/6K1/7p/2B5/p1n5/1b4P1/4R3 w - -,155"
"8/3B4/8/k4K2/8/PR6/8/7r b - -,366"
"8/b7/4R3/1k6/4B1K1/2p5/8/8 w - -,350"
"5k2/6p1/4p3/4N1b1/8/p1p5/P1B2K2/8 w - -,205"
"8/4k3/8/1n6/6PR/pB3K2/1b6/8 b - -,-247"
"5k2/6p1/4p3/6b1/2N5/p1p5/P1B2K2/8 b - -,202"
"8/4npp1/2b4k/8/5P2/2R3K1/P1B5/8 b - -,390"
"8/3B4/8/kR3K2/8/P7/8/4r3 b - -,399"
"5k2/6p1/4p3/8/2N5/p1p5/P1B2K2/2b5 w - -,206"
"8/4k3/8/1n6/7R/pB2K3/1b4P1/8 b - -,215"
"8/8/R4k2/4n3/4B1p1/p5K1/Pb6/8 b - -,164"
"5k2/6p1/3Np3/8/8/p1p5/P1B2K2/2b5 b - -,206"
"8/4k3/8/8/7R/pBn1K3/1b4P1/8 w - -,250"
"8/6k1/8/pp3p2/5P1R/P5K1/1P1r4/8 b - -,-394"
"1R4B1/8/8/k7/4n1PK/p7/8/2b5 w - -,245"
"8/4npk1/2b3p1/8/5P2/2R5/P1B2K2/8 w - -,381"
"8/4k1p1/3Np3/8/8/p1p5/P1B2K2/2b5 w - -,212"
"8/8/3r4/pp3k2/5P1R/P7/1P3K2/8 w - -,389"
"8/4k1p1/4p3/8/4N3/p1p5/P1B2K2/2b5 b - -,203"
"5k2/4np2/2b3p1/8/5P2/1BR5/P4K2/8 w - -,396"
"8/4k2R/8/1n6/8/pB3K2/1b4P1/8 b - -,217"
"8/4k1p1/4p3/8/4N3/p1p5/PbB2K2/8 w - -,211"
"8/7R/5k2/1n6/8/pB3K2/1b4P1/8 w - -,231"
"8/7R/5k2/1n6/6K1/pB6/1b4P1/8 b - -,245"
"8/4k1p1/4p3/8/4N3/p1p1K3/PbB5/8 b - -,216"
"8/7R/5k2/8/3n2K1/pB6/1b4P1/8 w - -,246"
"8/7R/5k2/8/3n2K1/p7/Bb4P1/8 b - -,239"
"8/5kp1/4p3/8/4N3/p1p1K3/PbB5/8 w - -,220"
"8/7R/8/4k3/3n2K1/p7/Bb4P1/8 w - -,249"
"8/5kp1/4p3/8/4NK2/p1p5/PbB5/8 b - -,218"
"8/R7/8/4k3/3n2K1/p7/Bb4P1/8 b - -,254"
"8/6p1/4p1k1/8/4NK2/p1p5/PbB5/8 w - -,223"
"8/R7/2n5/4k3/6K1/p7/Bb4P1/8 w - -,255"
"8/1p6/8/p2b2kP/P4p2/8/1N3K2/8 w - -,-332"
"8/8/2n5/4k3/R5K1/p7/Bb4P1/8 b - -,255"
"8/4n3/8/4k3/R5K1/p7/Bb4P1/8 w - -,255"
"8/1PK5/2B1bk2/R7/3r4/P4P2/7p/8 b - -,214"
"8/4n3/8/4k2K/R7/p7/Bb4P1/8 b - -,255"
"8/8/8/4kn1K/R7/p7/Bb4P1/8 w - -,255"
"8/8/8/4kn1K/R5P1/p7/Bb6/8 b - -,255"
"8/6p1/4p1k1/8/5K2/p1N5/PbB5/8 b - -,240"
"8/8/3k4/pp3p2/3K1P2/P2B4/1P4b1/8 b - -,342"
"8/8/8/4k2K/R5P1/p5n1/Bb6/8 w - -,259"
"5k2/6R1/7r/4K3/p3BP2/Pb6/1P6/8 w - -,360"
"8/8/8/4k3/R5PK/p5n1/Bb6/8 b - -,264"
"8/6p1/4p3/7k/5K2/p1N5/PbB5/8 w - -,246"
"5k2/3R4/7r/4K3/p3BP2/Pb6/1P6/8 b - -,370"
"8/8/8/4k3/R3n1PK/p7/Bb6/8 w - -,264"
"8/5k2/8/1P1bp1p1/8/4K1PP/p7/N7 b - -,-372"
"8/8/8/4k1P1/R3n2K/p7/Bb6/8 b - -,268"
"5k2/3R4/4r3/4K3/p3BP2/Pb6/1P6/8 w - -,362"
"5k2/6p1/6B1/6b1/6bp/R5P1/P7/5K2 b - -,242"
"8/6p1/4p3/7k/4NK2/p7/PbB5/8 b - -,246"
"8/6k1/8/1P2p1p1/4b3/1N5P/p4KP1/8 w - -,-166"
"6k1/6p1/6p1/1R4P1/8/p1p5/PbK5/8 w - -,331"
"8/8/8/4k1K1/R7/p7/Bb6/8 b - -,309"
"6k1/6p1/1R4p1/6P1/8/p1p5/PbK5/8 b - -,331"
"8/8/6R1/3n3k/8/p1p2K2/PbB5/8 w - -,204"
"8/8/8/4k1K1/R7/p1b5/B7/8 w - -,283"
"8/8/4bk2/5p2/1P3P1R/r7/2B1K1P1/8 b - -,210"
"8/8/8/4k3/R5K1/p1b5/B7/8 b - -,293"
"8/4k1p1/6B1/6b1/6bp/R5P1/P7/5K2 w - -,245"
"8/6pk/3R2p1/6P1/8/p1p5/PbK5/8 b - -,309"
"8/8/8/4k3/R5K1/p7/Bb6/8 w - -,305"
"8/8/8/4k3/R7/p4K2/Bb6/8 b - -,314"
"5k2/3R4/1r6/5K2/p3BP2/Pb6/1P6/8 w - -,394"
"8/8/4bk2/5p2/1P3P1R/6r1/2B1K1P1/8 w - -,207"
"8/6p1/4p3/7k/4NK2/p7/P1B5/2b5 w - -,251"
"8/8/8/4k3/R7/p1b2K2/B7/8 w - -,314"
"8/8/8/4k3/R7/p1b1K3/B7/8 b - -,332"
"8/8/4bk2/5p2/1P3P1R/6r1/2B2KP1/8 b - -,201"
"8/6p1/4p3/4K2k/4N3/p7/P1B5/2b5 b - -,251"
"8/8/4bk2/5p2/1P3P1R/2r5/2B2KP1/8 w - -,268"
"8/6p1/4p3/4K2k/4N3/p7/PbB5/8 w - -,250"
"8/4k1p1/6B1/6b1/R5bp/6P1/P7/5K2 b - -,184"
"8/R3k1p1/6B1/6b1/6bp/6P1/P7/5K2 b - -,242"
"8/8/4p3/6pk/4NK2/p7/PbB5/8 w - -,252"
"8/8/4p3/6pk/4N3/p3K3/PbB5/8 b - -,253"
"3r4/3PR3/8/1p6/1p3kpp/P7/5K2/8 w - -,-322"
"8/8/4p3/7k/4N1p1/p3K3/PbB5/8 w - -,256"
"8/8/4p3/7k/4N1p1/pB2K3/Pb6/8 b - -,252"
"8/R5p1/3k2B1/6b1/6bp/6P1/P7/5K2 w - -,241"
"8/8/8/4p2k/4N1p1/pB2K3/Pb6/8 w - -,262"
"8/5B2/8/4p2k/4N1p1/p3K3/Pb6/8 b - -,263"
"8/5B2/8/4p3/4N1pk/p3K3/Pb6/8 w - -,271"
"8/6R1/3k2B1/6b1/6bp/6P1/P7/5K2 b - -,241"
"R5B1/8/8/1k4p1/5n2/p4K1P/Pb6/8 b - -,165"
"8/8/4B3/4p3/4N1pk/p3K3/Pb6/8 b - -,288"
"R5B1/8/8/1k4p1/8/p4K1n/Pb6/8 w - -,157"
"8/6R1/3k2B1/6b1/7p/6Pb/P7/5K2 w - -,237"
"R5B1/8/8/1k4p1/6K1/p6n/Pb6/8 b - -,158"
"8/8/1bB5/5K1p/6n1/1R4p1/P5Pk/8 b - -,377"
"R5B1/8/8/1k4K1/8/p7/Pb3n2/8 b - -,165"
"R5B1/8/8/1k4K1/4n3/p7/Pb6/8 w - -,154"
"8/6R1/3k2B1/6b1/7p/6Pb/P3K3/8 b - -,227"
"R5B1/8/8/1k6/4nK2/p7/Pb6/8 b - -,151"
"8/8/4B3/4p3/3bN1pk/p3K3/P7/8 w - -,292"
"8/8/4B3/4p3/3bN1pk/p7/P3K3/8 b - -,296"
"8/1B6/8/4k3/8/p1n3RP/Pb1K2p1/8 w - -,158"
"8/6R1/3k1bB1/8/7p/6Pb/P3K3/8 w - -,243"
"2R5/8/nk6/3B1K2/8/p7/Pb6/8 b - -,154"
"8/8/1b2B3/4p3/4N1pk/p7/P3K3/8 w - -,296"
"2R5/8/1k6/2n2K2/2B5/p7/P7/b7 w - -,152"
"8/8/6kn/8/4K1p1/p7/P3B3/2bR4 b - -,156"
"8/8/1b2BN2/4p3/6pk/p7/P3K3/8 b - -,296"
"8/5R2/3k1bB1/8/7p/6Pb/P3K3/8 b - -,240"
"8/4k3/8/R4B2/5r1p/Pb6/1P1K2P1/8 b - -,317"
"8/8/1b2BN2/4p3/7k/p5p1/P3K3/8 w - -,304"
"2R5/8/1k6/2n5/2Bb1K2/p7/P7/8 w - -,152"
"8/8/1b2BN2/4p3/7k/p4Kp1/P7/8 b - -,308"
"8/8/5k2/R4B2/5r1p/Pb6/1P1K2P1/8 w - -,322"
"8/8/2B1bk2/R4p2/5P2/P6r/1PK5/8 w - -,375"
"8/3B4/5k1n/8/3RK1p1/p1b5/P7/8 w - -,160"
"8/1B6/8/4k3/1n6/pK5P/1b4R1/8 b - -,188"
"8/8/5k2/R7/5r1p/Pb5B/1P1K2P1/8 b - -,332"
"R7/8/1k6/2n5/2B2K2/p7/Pb6/8 w - -,151"
"2B5/8/8/4k3/8/pK1n3P/1b4R1/8 b - -,187"
"8/8/1b2BN2/8/4p2k/p4Kp1/P7/8 w - -,307"
"8/4k3/6R1/8/4K1n1/pB4p1/Pb6/8 b - -,179"
"8/8/1b2B3/8/4N2k/p4Kp1/P7/8 b - -,313"
"2B5/8/5k2/8/7P/pK1n4/1b4R1/8 b - -,199"
"8/8/8/4k1K1/R7/p7/B7/2b5 w - -,311"
"8/2b5/4B3/8/4N2k/p4Kp1/P7/8 w - -,306"
"8/5R2/3k1bB1/8/6bp/6P1/P3K3/8 w - -,246"
"8/4k3/8/3n1K2/8/pB4R1/Pb6/8 b - -,192"
"8/8/8/4k3/R5K1/p7/B7/2b5 b - -,388"
"8/2b5/4B3/8/7k/p1N2Kp1/P7/8 b - -,291"
"2B5/8/5k2/4n1bP/8/p7/K5R1/8 w - -,252"
"8/5R2/3k1bB1/8/6bp/6P1/P4K2/8 b - -,243"
"8/8/4B3/4b3/7k/p1N2Kp1/P7/8 w - -,294"
"8/8/5b1k/6p1/3nB2p/2R5/P5P1/5K2 b - -,382"
"R7/3k4/2n5/5K2/8/pBb5/P7/8 b - -,199"
"8/8/4B3/1N2b3/7k/p4Kp1/P7/8 b - -,294"
"2B5/8/5k2/6bP/2n5/K7/6R1/8 w - -,259"
"8/8/4B3/1N6/7k/p4Kp1/Pb6/8 w - -,302"
"8/5R2/3k2B1/6b1/6bp/6P1/P4K2/8 w - -,241"
"8/8/5b1k/8/3nB1pp/2R5/P5P1/5K2 w - -,383"
"2B5/8/5k2/6bP/8/1K2n1R1/8/8 b - -,276"
"2B5/8/5k2/3n2bP/8/1K4R1/8/8 w - -,277"
"8/1B6/5k2/3n2bP/8/1K4R1/8/8 b - -,272"
"8/8/5b1k/2R5/3nB1pp/8/P5P1/5K2 b - -,377"
"8/7R/3k2B1/6b1/6bp/6P1/P4K2/8 b - -,247"
"8/1B2n3/5k2/6bP/8/1K4R1/8/8 w - -,280"
"8/4n3/5k2/6bP/4B3/1K4R1/8/8 b - -,274"
"5R2/8/8/4n3/8/p1p4k/PbB5/5K2 w - -,162"
"8/8/5b1k/2R5/3nB1p1/7p/P5P1/5K2 w - -,376"
"8/2k5/5n2/3R4/5K2/p7/Pb4B1/8 w - -,165"
"8/3B4/8/1N6/7k/p4Kp1/Pb6/8 b - -,319"
"8/2k5/5n2/2R5/5K2/p7/Pb4B1/8 b - -,176"
"8/4n3/5k2/7P/4Bb2/1K6/6R1/8 b - -,272"
"4R3/8/8/4n3/8/p1p4k/PbB5/5K2 b - -,162"
"8/3k4/5n2/2R5/5K2/p7/Pb4B1/8 w - -,168"
"8/4n3/8/4k2P/4Bb2/1K6/6R1/8 w - -,275"
"8/7R/3k2B1/6b1/6b1/6p1/P4K2/8 w - -,244"
"8/4n3/8/4k2P/5b2/1K6/2B3R1/8 b - -,274"
"8/8/8/3nk2P/5b2/1K6/2B3R1/8 w - -,277"
"4n3/3k4/2R5/8/5K2/p7/Pb4B1/8 w - -,151"
"5k2/8/8/5R2/p2KBP1r/Pb6/1P6/8 b - -,364"
"8/8/5b1k/2R5/3nB3/7p/P7/5K2 w - -,388"
"5k2/8/8/4RP2/p7/Pb1B3r/1P3K2/8 w - -,227"
"6R1/8/8/3nk2P/5b2/1K6/2B5/8 b - -,278"
"4R3/8/8/8/6n1/p1p4k/PbB5/5K2 w - -,165"
"4n3/3k4/R7/8/5K2/p7/Pb4B1/8 b - -,152"
"8/7R/3k2B1/6b1/6b1/6K1/P7/8 b - -,242"
"8/2nk4/R7/8/5K2/p7/Pb4B1/8 w - -,155"
"8/6k1/8/6R1/p2KBP1r/Pb6/1P6/8 b - -,308"
"8/1B6/5b1k/2R5/3n4/7p/P7/5K2 b - -,371"
"5k2/8/8/4RP2/p7/Pb5r/1P3K2/5B2 b - -,225"
"8/3B4/8/1N6/7k/p4Kp1/P7/2b5 w - -,332"
"7R/8/5n2/4k2P/5b2/1K6/2B5/8 b - -,278"
"4n3/5k2/R7/5B2/2K5/p7/Pb6/8 b - -,153"
"8/5k2/8/6R1/p2KBP1r/Pb6/1P6/8 w - -,323"
"8/2nk4/1R6/8/5K2/p7/Pb4B1/8 b - -,152"
"5k2/8/8/4RP2/p7/Pb6/1P3K1r/5B2 w - -,228"
"8/7R/3kb1B1/6b1/8/6K1/P7/8 w - -,249"
"7R/8/4kn2/7P/5b2/1K6/2B5/8 w - -,279"
"8/1B6/5b1k/2R5/3n4/8/P6p/5K2 w - -,383"
