"FEN,Evaluation"
"R4N2/3k4/8/3r4/8/B7/4K3/8 b - -,328"
"6k1/2K5/8/7p/4P2p/5PpP/1b4P1/8 b - -,-283"
"5k2/8/3NK3/8/5Np1/8/8/8 b - -,256"
"5r1k/1R4pp/8/8/8/8/8/1K2R3 w - -,307"
"6rk/1R4pp/8/8/8/8/8/1K4R1 w - -,306"
"8/7R/8/4K3/6kp/6p1/8/8 b - -,-158"
"8/7R/8/4K3/6k1/6pp/8/8 w - -,-158"
"6k1/1R4pp/8/4R3/8/8/8/1K3r2 w - -,284"
"3r4/8/2k5/pp6/1P2KPP1/4N3/8/8 w - -,-313"
"3r4/8/P7/2k5/1p2KPP1/4N3/8/8 w - -,-299"
"8/8/2N5/5B2/1K6/8/2k5/8 b - -,304"
"6k1/5pp1/4b3/8/7n/3BR3/5PP1/6K1 w - -,263"
"R7/6k1/P7/8/8/8/5K2/r7 b - -,190"
"5k2/8/6PP/5K2/2B5/2b5/8/8 w - -,159"
"8/8/8/5B2/1p3b2/2k1p3/4K3/8 b - -,-183"
"8/8/8/5B2/5b2/1pk1p3/8/3K4 b - -,-162"
"8/8/4B3/8/5b2/1p2p3/1k6/3K4 b - -,-156"
"R1B5/p2Pk3/2p5/8/6K1/4p1b1/5p2/8 b - -,295"
"2k5/8/1P6/2K5/4B3/5Pb1/8/8 w - -,157"
"8/K7/4p1p1/1k4P1/5P2/8/8/8 w - -,399"
"8/p7/4p1p1/KPk4p/5PP1/7P/8/8 b - -,317"
"8/p7/4p1p1/KPk5/5Pp1/7P/8/8 w - -,337"
"8/p7/4p1p1/KPk5/5PP1/8/8/8 b - -,329"
"8/6N1/2k5/4K1N1/8/8/8/8 w - -,170"
"8/6pp/3k4/2N5/8/8/6PP/6K1 w - -,391"
"5r2/5p1p/5Nk1/8/8/8/1B6/7K b - -,-213"
"3r4/5p1p/5Nk1/8/8/8/1B6/7K w - -,-221"
"R7/P5k1/8/7p/5P2/4K3/r7/8 b - -,368"
"8/8/1r4kP/6P1/3R1K2/8/8/8 w - -,167"
"3K4/8/2N5/8/8/7B/8/1k6 w - -,304"
"6k1/7R/6P1/7P/8/7r/K7/8 w - -,253"
"6k1/7R/6P1/7P/8/7r/1K6/8 b - -,342"
"6k1/7R/6P1/7P/8/7r/2K5/8 w - -,342"
"6k1/7R/6P1/7P/8/7r/3K4/8 b - -,350"
"6k1/7R/6P1/7P/8/6r1/3K4/8 w - -,351"
"8/1K6/p1p5/2Pp1p2/1P1P1k2/8/8/8 w - -,318"
"8/5k2/8/6RP/5PK1/8/8/1r6 w - -,172"
"8/5k2/7P/6R1/5PK1/8/8/r7 w - -,222"
"8/5k2/7P/7R/5PK1/8/8/r7 b - -,222"
"6k1/8/7P/7R/5PK1/8/8/r7 w - -,222"
"2k1R3/8/p2b4/2p5/8/2P4r/P4R2/1K6 b - -,395"
"R7/3k4/8/3r4/5N2/B7/4K3/8 b - -,352"
"8/5kpp/8/8/1P6/8/2r3PP/1R5K w - -,303"
"6k1/6pp/1r6/1P6/8/8/6PP/1R5K w - -,224"
